RKB,centralno,duration (h),distance (km),coordinates_centralno,coordinates_podracno,Населено место
7720105223,Чешиново-Облешево - ООУ „Климент Охридски“ с.Облешево,0.06527777778,2.714,"41.8839081,22.3341322","41.8696094,22.312932",с.Чифлик
7720105231,Чешиново-Облешево - ООУ „Страшо Пинџур“ с.Соколарци,0.1097222222,3.753,"41.8946963,22.2784945","41.9047201,22.3082542",с.Спанчево
7720105231,Чешиново-Облешево - ООУ „Страшо Пинџур“ с.Соколарци,0.1069444444,3.28,"41.8946963,22.2784945","41.871767,22.2907877",Чешиново
7720105231,Чешиново-Облешево - ООУ „Страшо Пинџур“ с.Соколарци,0.1655555556,5.884,"41.8946963,22.2784945","41.8586002,22.263729",с.Уларци
7730103824,Чучер Сандево - ООУ „Св.Кирил и Методиј“  с.Кучевиште,0.06527777778,1.329,"42.1098531,21.4163384","42.1128892,21.4259595",с.побожје
7740107153,Штип - ООУ „Ванчо Прке“,0.05944444444,1.277,"41.7360755,22.1934529","41.7356901,22.184828",Штип
7740107153,Штип - ООУ „Ванчо Прке“,0.2361111111,9.902,"41.7360755,22.1934529","41.6906615,22.1237326",С.Лакавица
7740107153,Штип - ООУ „Ванчо Прке“,0.4086111111,13.857,"41.7360755,22.1934529","41.6727987,22.0914094",с.Селце
7740107188,Штип - ООУ „Гоце Делчев“,0.1825,7.511,"41.7360755,22.1934529","41.77456,22.1356916",населба Три Чешми
7740107188,Штип - ООУ „Гоце Делчев“,0.3863888889,10.268,"41.7360755,22.1934529","41.716685,22.2876978",с.Шашаварлија
7740107226,Штип - ООУ „Тошо Арсов“,0.8486111111,23.461,"41.7496724,22.1919251","41.7047672,22.3795045",с. Почивало
7740107226,Штип - ООУ „Тошо Арсов“,0.1458333333,5.86,"41.7496724,22.1919251","41.7812225,22.1851727",с. Чардаклија
7740107226,Штип - ООУ „Тошо Арсов“,0.09166666667,2.462,"41.7496724,22.1919251","41.744937,22.1738325","Македонка, Штип"
7840104197,Шуто Оризари - ООУ „Браќа Рамиз Хамид“ Шуто Оризари,0.1352777778,3.3,"42.0395175,21.4280013","42.0605414,21.409198","Горно Оризари,Скопје"
