match,opshtina,osnnovno_tip ,osnovno_ucilishte,language,uce_2019_2020,uce_2020_2021,uce_2021_2022,uce_2022_2023,uce_2023_2024,par_2019_2020,par_2020_2021,par_2021_2022,par_2022_2023,par_2023_2024,lat,long
Гостивар  - ООУ ПРПАРИМИ,Гостивар ,ЦУ,ПРПАРИМИ,"албански",2090,2010,1990,207,190,180,180,180,180,18,41.3313468,22.4328968
Гостивар  - ООУ ПРПАРИМИ с.Корито,Гостивар ,ПУ,ПРПАРИМИ с.Корито,"албански",0,0,0,0,0,0,0,0,0,0,41.3313468,22.4328968
Гостивар  - ООУ ПРПАРИМИ Чегране,Гостивар ,ПУ,ПРПАРИМИ Чегране,"албански",2570,2370,2460,241,217,200,200,200,200,19,41.3313468,22.4328968
Гостивар  - ООУ ФАИК КОНИЦА  с.ДЕБРЕШЕ,Гостивар ,ЦУ,ФАИК КОНИЦА  с.ДЕБРЕШЕ,"албански",2780,2700,2730,269,270,250,250,250,250,24,41.3313468,22.4328968
Гостивар  - ООУ ФОРИНО с.Форино,Гостивар ,ЦУ,ФОРИНО с.Форино,"албански",2270,2170,2040,195,184,190,190,190,190,19,41.3313468,22.4328968
Гостивар  - ООУ ЧАЈЛАс.Чајле,Гостивар ,ЦУ,ЧАЈЛАс.Чајле,"албански",1320,1300,1240,118,111,180,180,180,180,18,41.3313468,22.4328968
Градско - ООУ ДАМЕ ГРУЕВ  с.ГРАДСКО,Градско,ЦУ,ДАМЕ ГРУЕВ  с.ГРАДСКО,"македонски",2630,2540,2710,263,256,150,150,160,150,15,41.600952,21.897859
Градско - ООУ ДАМЕ ГРУЕВ  с.ГРАДСКО с.Виничани,Градско,ПУ,ДАМЕ ГРУЕВ  с.ГРАДСКО с.Виничани,"македонски",560,470,440,38,37,60,60,60,60,6,41.600952,21.897859
Градско - ООУ ДАМЕ ГРУЕВ  с.ГРАДСКО с.Водоврати,Градско,ПУ,ДАМЕ ГРУЕВ  с.ГРАДСКО с.Водоврати,"македонски",70,100,100,6,5,10,10,10,10,1,41.600952,21.897859
Градско - ООУ ДАМЕ ГРУЕВ  с.ГРАДСКО с.Кочилари,Градско,ПУ,ДАМЕ ГРУЕВ  с.ГРАДСКО с.Кочилари,"албански",70,70,40,5,6,10,10,10,10,1,41.600952,21.897859
Градско - ООУ ДАМЕ ГРУЕВ  с.ГРАДСКО с.Ногаевци,Градско,ПУ,ДАМЕ ГРУЕВ  с.ГРАДСКО с.Ногаевци,"македонски",50,50,50,4,6,10,10,10,10,1,41.600952,21.897859
Дебар - ООУ ПЕНЕСТИА (БРАТСТВО ЕДИНСТВО),Дебар,ЦУ,ПЕНЕСТИА (БРАТСТВО ЕДИНСТВО),"албански, македонски",9210,8970,8930,202,858,540,540,540,180,54,41.5453498,20.5751263
Дебар - ООУ ПЕНЕСТИА (БРАТСТВО ЕДИНСТВО) с.Џепиште,Дебар,ПУ,ПЕНЕСТИА (БРАТСТВО ЕДИНСТВО) с.Џепиште,"македонски",820,880,850,85,67,90,90,90,90,9,41.5453498,20.5751263
Дебар - ООУ РИСТЕ РИСТЕСКИ с.Долно Косоврасти,Дебар,ЦУ,РИСТЕ РИСТЕСКИ с.Долно Косоврасти,"македонски",1240,1300,1250,131,104,90,90,90,90,9,41.5453498,20.5751263
Дебар - ООУ РИСТЕ РИСТЕСКИ с.Долно Косоврасти с.Горно Косоврасти,Дебар,ПУ,РИСТЕ РИСТЕСКИ с.Долно Косоврасти с.Горно Косоврасти,"македонски",1180,1260,1260,119,0,90,90,90,90,0,41.5453498,20.5751263
Дебар - ООУ РИСТЕ РИСТЕСКИ с.Долно Косоврасти с.Могорче,Дебар,ПУ,РИСТЕ РИСТЕСКИ с.Долно Косоврасти с.Могорче,"македонски",2830,2900,2900,276,0,180,180,180,180,0,41.5453498,20.5751263
Дебар - ООУ САИД НАЈДЕНИ,Дебар,ЦУ,САИД НАЈДЕНИ,"албански",4770,4670,4550,364,415,360,360,360,290,36,41.5453498,20.5751263
Дебар - ООУ САИД НАЈДЕНИ с.Селокуќи,Дебар,ПУ,САИД НАЈДЕНИ с.Селокуќи,'',0,0,0,0,0,0,0,0,0,0,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште,Дебрца,ЦУ,ДЕБРЦА с.Белчиште,"македонски",250,250,310,26,22,60,60,60,60,6,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с. Горенци,Дебрца,ПУ,ДЕБРЦА с.Белчиште с. Горенци,"македонски",50,40,60,7,5,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Ботун,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Ботун,"македонски",70,80,50,7,6,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Велмеј,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Велмеј,"македонски",30,20,10,1,2,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Волино,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Волино,"македонски",140,140,90,10,14,20,20,20,20,2,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Горенци,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Горенци,"албански",60,60,50,5,5,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Злести,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Злести,"македонски",10,30,40,6,4,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Издеглавје,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Издеглавје,"македонски",20,20,10,2,2,10,10,10,10,1,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Лешани,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Лешани,"македонски",230,190,160,12,13,60,60,60,50,5,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Мешеишта,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Мешеишта,"македонски",400,440,330,34,41,60,70,60,70,7,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Оровник,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Оровник,"македонски",230,190,240,23,22,30,20,30,30,3,41.5453498,20.5751263
Дебрца - ООУ ДЕБРЦА с.Белчиште с.Требеништа,Дебрца,ПУ,ДЕБРЦА с.Белчиште с.Требеништа,"македонски",500,470,480,45,44,60,60,60,60,6,41.5453498,20.5751263
Делчево - ООУ ВАНЧО ПРКЕ,Делчево,ЦУ,ВАНЧО ПРКЕ,"македонски",16290,15830,15790,1627,1590,840,840,840,850,85,41.8918633,22.8159963
Делчево - ООУ ВАНЧО ПРКЕ с.Бигла,Делчево,ПУ,ВАНЧО ПРКЕ с.Бигла,"македонски",0,0,0,0,0,0,0,0,0,0,41.8918633,22.8159963
Делчево - ООУ ВАНЧО ПРКЕ с.Габрово,Делчево,ПУ,ВАНЧО ПРКЕ с.Габрово,"македонски",140,90,110,8,7,40,30,30,20,2,41.8918633,22.8159963
Делчево - ООУ ВАНЧО ПРКЕ с.Звегор,Делчево,ПУ,ВАНЧО ПРКЕ с.Звегор,"македонски",90,120,170,12,7,30,40,40,50,3,41.8918633,22.8159963
Делчево - ООУ посебни потреби,Делчево,посебни паралелки,посебни потреби,"македонски",0,140,310,14,0,0,50,110,60,0,41.8918633,22.8159963
Делчево - ООУ СВ. КЛИМЕНТ ОХРИДСКИ с.Вирче,Делчево,ПУ,СВ. КЛИМЕНТ ОХРИДСКИ с.Вирче,"македонски",90,80,30,2,2,20,20,10,10,1,41.8918633,22.8159963
Делчево - ООУ СВ. КЛИМЕНТ ОХРИДСКИ с.Град,Делчево,ПУ,СВ. КЛИМЕНТ ОХРИДСКИ с.Град,"македонски",340,340,390,41,36,70,70,70,70,7,41.8918633,22.8159963
Делчево - ООУ СВ. КЛИМЕНТ ОХРИДСКИ с.Разловци,Делчево,ПУ,СВ. КЛИМЕНТ ОХРИДСКИ с.Разловци,"македонски",330,350,360,32,29,80,80,90,80,8,41.8918633,22.8159963
Делчево - ООУ СВ. КЛИМЕНТ ОХРИДСКИ с.Стамер,Делчево,ПУ,СВ. КЛИМЕНТ ОХРИДСКИ с.Стамер,"македонски",110,130,140,8,9,30,30,30,20,3,41.8918633,22.8159963
Делчево - ООУ СВ. КЛИМЕНТ ОХРИДСКИ с.Тработивиште,Делчево,ПУ,СВ. КЛИМЕНТ ОХРИДСКИ с.Тработивиште,"македонски",260,300,310,33,33,80,80,90,90,8,41.8918633,22.8159963
Демир Капија - ООУ ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА,Демир Капија,ЦУ,ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА,"македонски",2560,2540,2550,254,257,160,160,150,150,16,41.8918633,22.8159963
Демир Капија - ООУ ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Бистренци,Демир Капија,ПУ,ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Бистренци,"македонски",150,160,170,14,16,20,20,20,20,2,41.8918633,22.8159963
Демир Капија - ООУ ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Корешница,Демир Капија,ПУ,ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Корешница,"македонски",440,410,490,49,38,40,40,50,50,4,41.8918633,22.8159963
Демир Капија - ООУ ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Прждево,Демир Капија,ПУ,ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Прждево,"македонски",70,70,50,4,4,10,10,10,10,1,41.8918633,22.8159963
Демир Капија - ООУ ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Челевец,Демир Капија,ПУ,ДИМЧЕ АНГЕЛОТ ГАБЕРОТ - Д.КАПИЈА с.Челевец,"турски",30,50,50,6,4,10,10,10,10,1,41.8918633,22.8159963
Демир Хисар - ООУ БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН,Демир Хисар,ЦУ,БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН,"македонски",400,450,460,44,48,50,50,50,50,5,41.2964715,21.1542156
Демир Хисар - ООУ БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Вирово,Демир Хисар,ПУ,БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Вирово,"македонски",10,0,0,0,0,10,0,0,0,0,41.2964715,21.1542156
Демир Хисар - ООУ БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Доленци,Демир Хисар,ПУ,БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Доленци,"македонски",30,40,50,5,4,10,10,10,10,1,41.2964715,21.1542156
Демир Хисар - ООУ БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Слоештица,Демир Хисар,ПУ,БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Слоештица,"македонски",20,20,10,0,0,10,10,10,0,0,41.2964715,21.1542156
Демир Хисар - ООУ БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Сопотница,Демир Хисар,ПУ,БРАЌА  МИЛАДИНОВЦИ- с..ЖВАН с.Сопотница,"македонски",350,240,180,18,12,30,40,40,30,4,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Вардино,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Вардино,"македонски",110,100,90,10,8,10,20,20,20,1,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Единаковци,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Единаковци,"македонски",110,100,60,3,4,30,20,20,10,1,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Журче,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Журче,"македонски",80,50,40,3,4,10,10,10,10,1,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Прибилци,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Прибилци,"македонски",0,0,0,0,0,0,0,0,0,0,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Света,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Света,"македонски",70,60,60,4,4,20,20,10,10,1,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Слепче,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Слепче,"македонски",130,100,60,9,10,20,20,10,20,2,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Стругово,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Стругово,"македонски",10,0,0,0,0,10,0,0,0,0,41.2964715,21.1542156
Демир Хисар - ООУ ГОЦЕ ДЕЛЧЕВ с.Суводол,Демир Хисар,ПУ,ГОЦЕ ДЕЛЧЕВ с.Суводол,"македонски",240,220,200,19,18,30,30,30,30,3,41.2964715,21.1542156
Демир Хисар - ООУ ДАМЕ ГРУЕВ  с.СМИЛЕВО,Демир Хисар,ЦУ,ДАМЕ ГРУЕВ  с.СМИЛЕВО,"македонски",190,170,180,18,14,50,50,80,40,5,41.2964715,21.1542156
Демир Хисар - ООУ ДАМЕ ГРУЕВ  с.СМИЛЕВО с.Обедник,Демир Хисар,ПУ,ДАМЕ ГРУЕВ  с.СМИЛЕВО с.Обедник,"албански, македонски",140,150,260,16,16,20,30,80,30,1,41.2964715,21.1542156
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН,Дојран,ЦУ,КОЧО РАЦИН - НОВ ДОЈРАН,"македонски",1590,1600,1650,155,150,100,110,120,120,12,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Ѓопчели,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Ѓопчели,"турски",180,200,240,23,16,20,20,20,20,2,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Куртамзали,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Куртамзали,"турски",0,0,0,0,16,0,0,0,0,3,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Николиќ,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Николиќ,"македонски",290,260,300,28,25,20,30,30,30,3,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Стар Дојран,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Стар Дојран,"македонски",220,200,200,25,26,20,20,20,20,2,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Фурка,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Фурка,"македонски",290,260,220,24,21,20,20,20,20,2,41.262362,22.7446583
Дојран - ООУ КОЧО РАЦИН - НОВ ДОЈРАН Црничани,Дојран,ПУ,КОЧО РАЦИН - НОВ ДОЈРАН Црничани,"македонски",120,110,120,12,9,20,20,20,20,2,41.262362,22.7446583
Долнени - ООУ ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО,Долнени,ЦУ,ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО,"македонски",1350,1230,1380,126,116,70,70,70,70,7,41.413583,21.4700249
Долнени - ООУ ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО с.Пешталево,Долнени,ПУ,ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО с.Пешталево,"македонски",470,450,340,30,21,50,50,50,50,5,41.413583,21.4700249
Долнени - ООУ ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО с.Сарандиново,Долнени,ПУ,ЃОРЧЕ ПЕТРОВ  с.РОПОТОВО с.Сарандиново,"македонски",70,80,60,4,2,10,10,10,10,1,41.413583,21.4700249
Долнени - ООУ ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште,Долнени,ЦУ,ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште,"албански",2940,2990,2870,286,274,180,180,180,180,18,41.413583,21.4700249
Долнени - ООУ ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште с.Гостиражни,Долнени,ПУ,ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште с.Гостиражни,"албански",110,110,120,9,12,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште с.Костинци,Долнени,ПУ,ИСМАИЛ ЌЕМАЛИ (ПЕТРЕ ГЛИГУРОВСКИ) с.Црнилиште с.Костинци,"македонски",130,130,140,12,9,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ЛИРИЈА  С.ЖИТОШЕ,Долнени,ЦУ,ЛИРИЈА  С.ЖИТОШЕ,"албански, македонски",3250,3430,3240,304,226,210,210,220,210,21,41.413583,21.4700249
Долнени - ООУ ЛИРИЈА  С.ЖИТОШЕ с.Локвени,Долнени,ПУ,ЛИРИЈА  С.ЖИТОШЕ с.Локвени,"македонски",90,80,90,8,10,10,10,10,10,1,41.413583,21.4700249
Долнени - ООУ МИРЧЕ АЦЕВ  с.ЛАЖАНИ,Долнени,ЦУ,МИРЧЕ АЦЕВ  с.ЛАЖАНИ,"македонски",2690,2540,2480,237,225,170,170,170,170,17,41.413583,21.4700249
Долнени - ООУ МИРЧЕ АЦЕВ  с.ЛАЖАНИ с.Кошино,Долнени,ПУ,МИРЧЕ АЦЕВ  с.ЛАЖАНИ с.Кошино,"македонски",70,30,20,1,0,10,10,10,10,0,41.413583,21.4700249
Долнени - ООУ ПЕРЕ ТОШЕВ  с.Десово,Долнени,ЦУ,ПЕРЕ ТОШЕВ  с.Десово,"албански, македонски",1850,1780,1840,175,173,130,130,130,130,13,41.413583,21.4700249
Долнени - ООУ ПЕРЕ ТОШЕВ  с.Десово с.Дреновци,Долнени,ПУ,ПЕРЕ ТОШЕВ  с.Десово с.Дреновци,"македонски",250,230,210,18,17,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ПЕРЕ ТОШЕВ  с.Десово с.Дупјачани,Долнени,ПУ,ПЕРЕ ТОШЕВ  с.Десово с.Дупјачани,"македонски",330,350,370,42,42,30,30,30,30,3,41.413583,21.4700249
Долнени - ООУ ПЕРЕ ТОШЕВ  с.Десово с.Небрегово,Долнени,ПУ,ПЕРЕ ТОШЕВ  с.Десово с.Небрегово,"македонски",90,110,90,3,4,10,10,10,10,1,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ,Долнени,ЦУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ,"македонски",600,630,680,74,83,60,60,60,60,6,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Белополе,Долнени,ПУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Белополе,"македонски",190,180,140,10,9,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Браилово,Долнени,ПУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Браилово,"македонски",140,180,170,15,15,10,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Вранче,Долнени,ПУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Вранче,"македонски",110,140,110,11,10,20,30,30,30,3,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Заполжани,Долнени,ПУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Заполжани,"македонски",120,130,130,13,13,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Сенокос,Долнени,ПУ,ПЕЦО ДАСКАЛОТ с.ДОЛНЕНИ с.Сенокос,"македонски",230,230,220,24,18,20,20,20,20,2,41.413583,21.4700249
Долнени - ООУ пу с.Секирци,Долнени,ПУ,пу с.Секирци,"македонски",160,160,140,14,10,20,20,20,20,2,41.413583,21.4700249
Ѓорче Петров - ООУ ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ,Ѓорче Петров,ЦУ,ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ,"македонски",5030,5200,5290,546,555,200,210,220,220,22,41.413583,21.4700249
Ѓорче Петров - ООУ ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ Хром,Ѓорче Петров,ПУ,ДИМИТАР ПОП ГЕОРГИЕВ БЕРОВСКИ Хром,"македонски",3320,3660,3910,420,459,150,170,170,180,19,41.413583,21.4700249
Ѓорче Петров - ООУ ЃОРЧЕ ПЕТРОВ,Ѓорче Петров,ЦУ,ЃОРЧЕ ПЕТРОВ,"македонски",3210,3330,3340,321,311,160,170,170,160,16,41.413583,21.4700249
Ѓорче Петров - ООУ ЈОАКИМ КРЧОВСКИ  с. ВОЛКОВО,Ѓорче Петров,ЦУ,ЈОАКИМ КРЧОВСКИ  с. ВОЛКОВО,"македонски",3670,3520,3570,340,327,180,180,180,180,18,41.413583,21.4700249
Ѓорче Петров - ООУ ЈОАКИМ КРЧОВСКИ  с. ВОЛКОВО с.Никиштани,Ѓорче Петров,ПУ,ЈОАКИМ КРЧОВСКИ  с. ВОЛКОВО с.Никиштани,"албански",1650,1680,1660,156,163,90,90,90,90,9,41.413583,21.4700249
Ѓорче Петров - ООУ МИРЧЕ АЦЕВ,Ѓорче Петров,ЦУ,МИРЧЕ АЦЕВ,"македонски",7400,7270,7270,720,731,310,310,300,300,30,41.413583,21.4700249
Ѓорче Петров - ООУ СТРАШО ПИНЏУР- Н. ПАТ,Ѓорче Петров,ЦУ,СТРАШО ПИНЏУР- Н. ПАТ,"македонски",6150,6190,6180,600,597,270,280,280,280,28,41.413583,21.4700249
Ѓорче Петров - ООУ ТИХОМИР  МИЛОШЕВСКИ Н.Село,Ѓорче Петров,ЦУ,ТИХОМИР  МИЛОШЕВСКИ Н.Село,"македонски",4860,4790,4610,448,439,200,200,190,180,18,41.413583,21.4700249
Желино - ООУ ИБРАХИМ  ТЕМО с.СТРИМНИЦА,Желино,ЦУ,ИБРАХИМ  ТЕМО с.СТРИМНИЦА,"албански",2600,2640,2440,240,237,180,180,180,180,18,41.9646497,21.1540719
Желино - ООУ ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО,Желино,ЦУ,ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО,"албански",4850,4710,4690,452,455,250,250,260,250,25,41.9646497,21.1540719
Желино - ООУ ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО с.Г.Лешница,Желино,ПУ,ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО с.Г.Лешница,"албански",300,260,280,23,26,40,20,20,20,2,41.9646497,21.1540719
Желино - ООУ ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО с.Д.Лешница,Желино,ПУ,ЛУИЃ ГУРАКУЌИ с.ЖЕЛИНО с.Д.Лешница,"албански",310,300,290,25,21,20,40,50,40,4,41.9646497,21.1540719
Желино - ООУ ПАШКО ВАСА с. Групчин,Желино,ЦУ,ПАШКО ВАСА с. Групчин,"албански",1670,1650,1540,144,132,100,90,90,90,9,41.9646497,21.1540719
Желино - ООУ ПАШКО ВАСА с. Групчин с.Добарце,Желино,ПУ,ПАШКО ВАСА с. Групчин с.Добарце,"албански",1830,1820,1680,153,153,120,120,120,110,12,41.9646497,21.1540719
Желино - ООУ ПАШКО ВАСА с. Групчин с.Копачиндол,Желино,ПУ,ПАШКО ВАСА с. Групчин с.Копачиндол,"албански",1320,1410,1330,122,125,90,90,90,90,9,41.9646497,21.1540719
Желино - ООУ ПАШКО ВАСА с. Групчин с.Церово,Желино,ПУ,ПАШКО ВАСА с. Групчин с.Церово,"албански",690,720,680,66,72,70,90,90,90,9,41.9646497,21.1540719
Желино - ООУ РАМЕТУЛА АМЕТИ с.Чифлик,Желино,ЦУ,РАМЕТУЛА АМЕТИ с.Чифлик,"албански",1440,1390,1850,127,133,90,90,120,90,9,41.9646497,21.1540719
Желино - ООУ РАМЕТУЛА АМЕТИ с.Чифлик с.Ларце,Желино,ПУ,РАМЕТУЛА АМЕТИ с.Чифлик с.Ларце,"албански",2780,2750,2660,252,242,180,180,180,180,18,41.9646497,21.1540719
Желино - ООУ с.Седларево,Желино,ЦУ,с.Седларево,"албански",650,520,420,36,31,90,90,90,90,9,41.9646497,21.1540719
Желино - ООУ с.Седларево с.Мерово,Желино,ПУ,с.Седларево с.Мерово,"албански",1080,1040,1080,100,92,90,90,90,90,9,41.9646497,21.1540719
Желино - ООУ с.Седларево с.Ново Село,Желино,ПУ,с.Седларево с.Ново Село,"албански",990,970,890,77,78,90,90,90,90,9,41.9646497,21.1540719
Желино - ООУ ФАН НОЛИ с.Требош,Желино,ЦУ,ФАН НОЛИ с.Требош,"албански",2680,2770,2530,244,245,180,180,180,180,18,41.9646497,21.1540719
Желино - ООУ ФАН НОЛИ с.Требош с.Озурмиште,Желино,ПУ,ФАН НОЛИ с.Требош с.Озурмиште,"албански",280,260,250,24,22,50,50,50,50,5,41.9646497,21.1540719
Желино - ООУ ФАН НОЛИ с.Требош с.Палатица,Желино,ПУ,ФАН НОЛИ с.Требош с.Палатица,"албански",3080,3050,3000,279,260,180,180,180,180,18,41.9646497,21.1540719
Желино - ООУ ХАСАН ТАХСИНИ с. Рогле,Желино,ЦУ,ХАСАН ТАХСИНИ с. Рогле,"албански",960,900,900,85,76,90,90,90,90,9,41.9646497,21.1540719
Зелениково - ООУ МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО,Зелениково,ЦУ,МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО,"македонски",2120,2140,2090,211,205,130,130,130,130,13,41.9333633,21.1220706
Зелениково - ООУ МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с. Орешани,Зелениково,ПУ,МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с. Орешани,"македонски",290,330,380,37,36,50,50,50,50,5,41.9333633,21.1220706
Зелениково - ООУ МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Вражале,Зелениково,ПУ,МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Вражале,"албански",60,70,80,7,6,30,30,40,30,3,41.9333633,21.1220706
Зелениково - ООУ МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Гумалево,Зелениково,ПУ,МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Гумалево,"албански",10,0,0,0,0,10,0,0,0,0,41.9333633,21.1220706
Зелениково - ООУ МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Дејковец,Зелениково,ПУ,МАРКО  ЦЕПЕНКОВ с. ЗЕЛЕНИКОВО с.Дејковец,"албански",10,10,10,0,0,10,10,10,0,0,41.9333633,21.1220706
