Општина,година,број на деца
Чешиново - Облешево,2016,82
Чучер - Сандево,2016,-
Штип,2016,1336
Република Македонија,2017,35286
Аеродром,2017,2954
Бутел,2017,863
Гази Баба,2017,1627
Ѓорче Петров,2017,1221
Карпош,2017,2872
Кисела Вода,2017,2398
Сарај,2017,49
Центар,2017,2386
Чаир,2017,1547
Шуто Оризари,2017,169
Арачиново,2017,-
Берово,2017,267
Битола,2017,1493
Богданци,2017,217
Боговиње,2017,-
Босилово,2017,-
Брвеница,2017,19
Валандово,2017,219
Василево,2017,94
Вевчани,2017,43
Велес,2017,1189
Виница,2017,391
Вранештица,2017,-
Врапчиште,2017,-
Гевгелија,2017,671
Гостивар,2017,625
Градско,2017,-
Дебар,2017,259
Дебарца,2017,-
Делчево,2017,325
Демир Капија,2017,84
Демир Хисар,2017,86
Дојран,2017,42
Долнени,2017,-
Другово,2017,-
Желино,2017,-
Зајас,2017,-
Зелениково,2017,-
Зрновци,2017,-
Илинден,2017,381
Јегуновце,2017,-
Кавадарци,2017,956
Карбинци,2017,50
Кичево,2017,216
Конче,2017,-
Кочани,2017,746
Кратово,2017,117
Крива Паланка,2017,317
Кривогаштани,2017,20
Крушево,2017,83
Куманово,2017,1629
Липково,2017,28
Лозово,2017,-
Маврово и Ростуша,2017,-
Македонска Каменица,2017,150
Македонски Брод,2017,86
Могила,2017,29
Неготино,2017,466
Новаци,2017,-
Ново Село,2017,57
Осломеј,2017,-
Охрид,2017,703
Петровец,2017,142
Пехчево,2017,112
Пласница,2017,-
Прилеп,2017,1164
Пробиштип,2017,385
Радовиш,2017,734
Ранковце,2017,-
Ресен,2017,137
Росоман,2017,86
Свети Николе,2017,395
Сопиште,2017,-
Старо Нагоричане,2017,-
Струга,2017,539
Струмица,2017,1052
Студеничани,2017,-
Теарце,2017,-
Тетово,2017,992
Центар Жупа,2017,-
Чашка,2017,-
Чешиново - Облешево,2017,99
Чучер - Сандево,2017,-
Штип,2017,1305
Република Македонија,2018,37615
Аеродром,2018,3079
Бутел,2018,1040
Гази Баба,2018,1771
Ѓорче Петров,2018,1247
Карпош,2018,2912
Кисела Вода,2018,2444
Сарај,2018,56
Центар,2018,2430
Чаир,2018,1403
Шуто Оризари,2018,140
Арачиново,2018,-
Берово,2018,275
Битола,2018,1600
Богданци,2018,214
Боговиње,2018,-
Босилово,2018,-
Брвеница,2018,-
Валандово,2018,208
Василево,2018,88
Вевчани,2018,40
Велес,2018,1289
Виница,2018,414
Вранештица,2018,-
Врапчиште,2018,84
Гевгелија,2018,749
Гостивар,2018,653
Градско,2018,-
Дебар,2018,313
Дебарца,2018,-
Делчево,2018,318
Демир Капија,2018,97
Демир Хисар,2018,88
Дојран,2018,43
Долнени,2018,-
Другово,2018,-
Желино,2018,-
Зајас,2018,-
Зелениково,2018,-
Зрновци,2018,47
Илинден,2018,428
Јегуновце,2018,39
Кавадарци,2018,1028
Карбинци,2018,50
Кичево,2018,280
Конче,2018,-
Кочани,2018,779
Кратово,2018,124
Крива Паланка,2018,321
Кривогаштани,2018,48
Крушево,2018,78
Куманово,2018,1745
Липково,2018,32
Лозово,2018,-
Маврово и Ростуша,2018,-
Македонска Каменица,2018,142
Македонски Брод,2018,78
Могила,2018,18
Неготино,2018,492
Новаци,2018,-
Ново Село,2018,51
Осломеј,2018,-
Охрид,2018,991
Петровец,2018,148
Пехчево,2018,120
Пласница,2018,-
Прилеп,2018,1381
Пробиштип,2018,403
Радовиш,2018,684
Ранковце,2018,-
Ресен,2018,156
Росоман,2018,87
Свети Николе,2018,426
Сопиште,2018,-
Старо Нагоричане,2018,-
Струга,2018,636
Струмица,2018,1046
Студеничани,2018,-
Теарце,2018,-
Тетово,2018,1228
Центар Жупа,2018,-
Чашка,2018,-
Чешиново - Облешево,2018,110
Чучер - Сандево,2018,-
Штип,2018,1424
Република Македонија,2019,38094
Аеродром,2019,3415
Бутел,2019,1082
Гази Баба,2019,1725
Ѓорче Петров,2019,1217
Карпош,2019,2926
Кисела Вода,2019,2434
Сарај,2019,85
Центар,2019,2207
Чаир,2019,1401
Шуто Оризари,2019,164
Арачиново,2019,-
Берово,2019,262
Битола,2019,1580
Богданци,2019,207
Боговиње,2019,-
Босилово,2019,-
Брвеница,2019,48
Валандово,2019,178
Василево,2019,82
Вевчани,2019,55
Велес,2019,1304
Виница,2019,385
Вранештица,2019,-
Врапчиште,2019,60
Гевгелија,2019,799
Гостивар,2019,729
Градско,2019,-
Дебар,2019,316
Дебарца,2019,-
Делчево,2019,366
Демир Капија,2019,95
Демир Хисар,2019,102
Дојран,2019,41
Долнени,2019,-
Другово,2019,-
Желино,2019,-
Зајас,2019,-
Зелениково,2019,-
Зрновци,2019,44
Илинден,2019,437
Јегуновце,2019,38
Кавадарци,2019,1090
Карбинци,2019,56
Кичево,2019,450
Конче,2019,-
Кочани,2019,724
Кратово,2019,113
Крива Паланка,2019,316
Кривогаштани,2019,33
Крушево,2019,86
Куманово,2019,1743
Липково,2019,35
Лозово,2019,-
Маврово и Ростуша,2019,-
Македонска Каменица,2019,172
Македонски Брод,2019,89
Могила,2019,-
Неготино,2019,502
Новаци,2019,-
Ново Село,2019,53
Осломеј,2019,-
Охрид,2019,1050
Петровец,2019,157
Пехчево,2019,100
Пласница,2019,-
Прилеп,2019,1409
Пробиштип,2019,390
Радовиш,2019,605
Ранковце,2019,-
Ресен,2019,122
Росоман,2019,96
Свети Николе,2019,423
Сопиште,2019,-
Старо Нагоричане,2019,-
Струга,2019,608
Струмица,2019,1108
Студеничани,2019,-
Теарце,2019,-
Тетово,2019,1296
Центар Жупа,2019,-
Чашка,2019,-
